type	name	field	raw_value	converted_value	note
city	下弁	ReservistMax	not_recovered	100	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	下邳	ReservistMax	not_recovered	218	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	上庸	ReservistMax	not_recovered	255	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	小沛	ReservistMax	not_recovered	138	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	云南	ReservistMax	not_recovered	154	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	公安	ReservistMax	not_recovered	137	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	天水	ReservistMax	not_recovered	182	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	青城山	ReservistMax	not_recovered	135	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	代县	ReservistMax	not_recovered	232	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	北平	ReservistMax	not_recovered	156	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	北海	ReservistMax	not_recovered	168	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	平原	ReservistMax	not_recovered	355	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	弘农	ReservistMax	not_recovered	197	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	永安	ReservistMax	not_recovered	100	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	永昌	ReservistMax	not_recovered	347	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	交趾	ReservistMax	not_recovered	135	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
city	合浦	ReservistMax	not_recovered	135	由人口和金钱派生的当前引擎兼容值，APK城池表未恢复到预备兵字段
